query,page,rank_page,rank_abs,title,url,description,result_type,mention_atomberg,mention_orient,mention_havells,mention_crompton,mention_polycab
Atomberg,1,1,1,"Atomberg: Buy Best Ceiling Fans, Mixer Grinders & Water Purifier",https://atomberg.com/,"Explore Atomberg's range of energy-saving ceiling fans, mixer grinders, smart water purifier & locks. Designed for modern homes with cutting-edge technology ...",organic,True,False,False,False,False
Atomberg,1,2,2,,https://acr.iitbombay.org/awards/manoj-meena/,,organic,False,False,False,False,False
Atomberg,1,3,3,Buy atomberg Renesa Smart 1200mm BLDC Ceiling Fan ...,https://www.amazon.in/atomberg-Renesa-Smart-Efficient-Indicators/dp/B0CMQM4Y8W,ENERGY EFFICIENT BLDC TECHNOLOGY: Atomberg Renesa Smart comes with an energy-efficient BLDC motor. This 5-star rated fan provides a superior air delivery of 235 ...,organic,True,False,False,False,False
Atomberg,1,4,4,Buy Atomberg Fans Online at Best Prices In India,https://www.flipkart.com/fan/atomberg~brand/pr,Atomberg Ameza Remote Controlled|High Air Delivery|LED Speed|Low Noise|Power Saving with 2 Year Warranty BLDC Motor with Remote 1200 mm Ceiling Fan#JustHere.,organic,True,False,False,False,False
Atomberg,1,5,5,Atomberg,https://www.instagram.com/atomberg/,Introducing Atomberg Intellon Water Purifier | Smarter Filter. Longer Life. Why you'll love it: • India's 1st Adaptive* Water Purifier • 2 Years No Questions ...,organic,True,False,False,False,False
Atomberg,1,6,6,Atomberg Technologies,https://in.linkedin.com/company/atomberg-technologies-private-limited,Atomberg became the first brand to make energy-efficient BLDC fans widely available to Indian consumers. And we began helping households save up to 65% on ...,organic,True,False,False,False,False
Atomberg,1,7,7,Buy Atomberg Online,https://blinkit.com/brand/Atomberg,"Buy Atomberg at best price and get it delivered at your doorstep ... Atomberg Renesa Enzel 1200 Ceiling Fan (Gloss Black, 35 W). 1 unit. ₹3,499. ₹5,660. ADD.",organic,True,False,False,False,False
Atomberg,2,1,8,Atomberg Technologies,https://www.facebook.com/gorillafans/,Introducing Atomberg Intellon Water Purifier | Smarter Filter. Longer Life. Why you'll love it: • India's 1st Adaptive* Water Purifier • 2 Years No Questions ...,organic,True,False,False,False,False
Atomberg,2,2,9,Atomberg Ceiling Fans at Best Prices in India ((July 2025)),https://www.bajajfinserv.in/atomberg-ceiling-fans,"The Atomberg ceiling fan price range starts from about Rs. 3,000 and goes up to Rs. 10,000. As you can see from the following table, the Atomberg ceiling fan ...",organic,True,False,False,False,False
Atomberg,2,3,10,Atomberg Efficio,https://www.sathya.store/brand/atomberg-efficio,"Atomberg Ikano 1200 mm BLDC 5 Star Ceiling Fan with Remote (48IKANO). ₹3,300. MRP: ₹4,820 (Save ₹1,520, 32% off) ; Atomberg Renesa Plus Ceiling Fan ...",organic,True,False,False,False,False
Atomberg,2,4,11,Atomberg Home – Apps on Google Play,https://play.google.com/store/apps/details,"Use this app to add devices, control them using voice, BLE and Internet. Use this app to link Atomberg devices to Alexa and Google Assistant.",organic,True,False,False,False,False
Atomberg,2,5,12,Atomberg (@atomberg_tech) / X,https://x.com/atomberg_tech,Meet Atomberg Intellon Water Purifier. Smarter filter. Longer life. Because YOU deserve better. What you'll love: 1. It's India's 1st Adaptive* Water Purifier.,organic,True,False,False,False,False
Atomberg,2,6,13,Atomberg Technologies,https://www.youtube.com/channel/UCd7r6QLE7B-bG2_WwxLKL8w/videos,Atomberg is in the business of solving invisible household problems and revolutionising the home appliance.,organic,True,False,False,False,False
Atomberg,2,7,14,Atomberg,https://dynamicdistributors.in/shop/brand/atomberg/,Atomberg Fans has a rating of 5 stars. All fans produced are energy-efficient fans with low power consumption and high output.,organic,True,False,False,False,False
Atomberg,2,8,15,"Atomberg Ceiling Fans - Latest Price, Dealers & Retailers ...",https://dir.indiamart.com/impcat/atomberg-ceiling-fans.html,"Atomberg BLDC Ceiling Fans · Atomberg Ikano Celing Fan, 365 RPM, 1200 mm · 3 Blades Atomberg Renesa+ 600 Mm Bldc Ceiling Fan, 840 RPM · 3 Blades CEILING FAN ...",organic,True,False,False,False,False
Atomberg,2,9,16,Buy Atomberg Fans Online at Best Prices,https://www.croma.com/atomberg-fans/bc/b-1169-51,"Atomberg exhaust fans come with energy-efficient BLDC motors and offer noiseless operation. They are highly durable, easy to install, and easy to clean.",organic,True,False,False,False,False
Atomberg,2,10,17,Atomberg,https://www.amazon.in/stores/Atomberg/Atomberg/page/54ABC2F8-DAB5-4E41-87B2-F0DFC577496D,"Follow to get deals, content, and email updates from this brand. Browse all categories.",organic,True,False,False,False,False
Atomberg,3,1,18,AtomQuest 2025 - 2025 | 1531272 // Unstop,https://unstop.com/competitions/atomquest-2025-atomberg-technologies-pvt-ltd-1531272,"Shortlisted teams from Round 3 will be paired with Atomberg mentors, who will guide them through the development phase, providing insights, ...",organic,True,False,False,False,False
Atomberg,3,2,19,Explore a Range of Atomberg Fans at Best Prices in India,https://www.bajajfinserv.in/atomberg-fan,"19 Jun 2024 — Atomberg fans are designed to combine energy efficiency, powerful performance, and modern aesthetics. Utilising advanced BLDC motor technology, ...",organic,True,False,False,False,False
Atomberg,3,3,20,Atomberg - Dpanda Store,https://shop.dpanda.in/collections/atomberg,5 products · Motor Ozeo Ceiling Fan 1200mm - Gloss Brown · Motor Ozeo Ceiling Fan 1200mm - Gloss White.,organic,True,False,False,False,False
