query,page,rank_page,rank_abs,title,url,description,result_type,mention_atomberg,mention_orient,mention_havells,mention_crompton,mention_polycab
smart fan,1,1,1,Buy Smart Ceiling Fans Online at Best Price,https://orientelectric.com/collections/smart-ceiling-fans,Shop the latest collection of smart ceiling fans online at the best prices. Experience the ultimate comfort and convenience with these intelligent fans.,organic,False,False,False,False,False
smart fan,1,2,2,Buy Smart Fans Online At Amazing Prices Online In India,https://atomberg.com/atomberg-ceiling-fans/smart-fans,"A smart fan offers features like app-based control, voice commands, customizable speeds, and energy efficiency. It improves comfort by adjusting settings ...",organic,False,False,False,False,False
smart fan,1,3,3,Smart Fan,https://www.amazon.in/Smart-Fan/s,Orient Electric 1200 mm Aerosense| Smart fan with IoT & Remote| BLDC fan with underlight| Save up to 50% on electricity bills| BEE 5-star rated| 5-year warranty ...,organic,False,True,False,False,False
smart fan,1,4,4,,https://www.pcmag.com/picks/the-best-smart-fans,,organic,False,False,False,False,False
smart fan,1,5,5,Buy Smart Ceiling Fans at Best Prices in India,https://www.crompton.co.in/collections/ceiling-fans/smart-fans,"A smart ceiling fan lets you control speed, direction and settings remotely through a smartphone app or voice commands. They are known to enhance convenience, ...",organic,False,False,False,False,False
smart fan,1,6,6,Fans,https://havells.com/fans.html,Elio Prime Smart BLDC+ Ceiling Fan. New. Elio Prime Smart BLDC+ Ceiling Fan. Rating: 92%. 5 Reviews. As low as ₹ 5 510.00 (incl. of all taxes) ...,organic,False,False,False,False,False
smart fan,1,7,7,Orient Electric 1200mm Smart Premium Ceiling Fan ...,https://www.flipkart.com/orient-electric-1200mm-smart-premium-ceiling-fan-iot-remote-underlight-1200-mm-3-blade/p/itme5abe72bfc168,"1200mm Smart Premium Ceiling Fan with IOT, Remote & Underlight with 1 Year Warranty 1200 mm Ceiling Fan (WHITE | Pack of 1). Highlights.",organic,False,True,False,False,False
smart fan,1,8,8,Buy Smart Renesa IOT Enabled Fan with Remote At ...,https://atomberg.com/atomberg-renesa-smart-iot-enabled-ceiling-fans-with-bldc-motor-and-remote,"Discover Atomberg Renesa IOT enables fan with BLDC motor with remote, LED indicators & aluminum blade & save 65% on electricity.",organic,True,False,False,False,False
smart fan,1,9,9,Buy Smart Fans Online at Best Prices,https://www.croma.com/smart-devices/smart-home-devices/smart-fans/c/818,"With intelligent features, like temperature sensors, voice-controlled operation, and app-based control, these fans are set to enhance your cooling experience ...",organic,False,False,False,False,False
smart fan,1,10,10,Smart Ceiling Fans - Remote controlled ...,https://dir.indiamart.com/impcat/smart-ceiling-fans.html,"Maxotech Ivory Remote Control Ceiling Fan, 960 Rpm, Model Name/Number: Affleck Ultra · Smart Ceiling Fan · Smart Ceiling Fan, 1300mm, 330 RPM · 1200mm Dhrio BLDC ...",organic,False,False,False,False,False
smart fan,1,11,11,Buy Smart Fan Module 10A - OKOS,https://okos.in/products/okos-fan-module-16a-wi-fi,"The Okos Fan Module 10A can be wired-in to virtually any Ceiling Fan by installing it inside any switch board, thereby allowing it to be easily controlled.",organic,False,False,False,False,False
smart fan,2,1,12,The Best Smart Fans for 2025,https://www.pcmag.com/picks/the-best-smart-fans,"27 Mar 2025 — Keep your place cool with a connected fan you can conveniently control with your phone or voice. We've rounded up the best smart ceiling, ...",organic,False,False,False,False,False
smart fan,2,2,13,OCECO Fansio Smart with Light: BLDC Fan with IOT in India,https://www.oceco.in/product/oceco-fansio-smart/,"OCECO Fansio Smart fan is a smart ceiling fan with IOT Technology and remote control. It comes with light and is available in wooden, metallic, ...",organic,False,False,False,False,False
smart fan,2,3,14,Best Ceiling Fan in India,https://digismartelectricals.com/product-category/ceiling-fan/,"ACTIVA 1200 MM Star Deco 390 RPM High Speed Anti Dust Coating (SMOKE GREY) Ceiling Fan Comes with 3 Year Warranty. · 1,249.00 Current price is: ₹1,249.00.",organic,False,False,False,False,False
smart fan,2,4,15,Smart Ceiling Fans | Visual Comfort & Co.,https://www.visualcomfort.com/us/c/smart-fans,Discover smart ceiling fans from Visual Comfort & Co. Beautiful and functional fans that bring sophistication to any room.,organic,False,False,False,False,False
smart fan,2,5,16,Smart Fan - Price in India,https://www.bajajfinserv.in/smart-fan,"24 Jul 2024 — Smart fans are the future of home cooling, offering advanced features like remote control, voice activation, and energy efficiency.",organic,False,False,False,False,False
smart fan,2,6,17,Xiaomi Smart Standing Fan 2 - Xiaomi India,https://www.mi.com/in/product/xiaomi-smart-standing-fan-2/,"Xiaomi Smart Standing Fan 2 Price: ₹6,999 Xiaomi Smart Standing Fan 2 uses a DC copper-wire motor, which has higher operating efficiency and longer service ...",organic,False,False,False,False,False
smart fan,2,7,18,Buy Smart Series Collection Online in India,http://fanzartfans.com/product-category/smart-series-collection/,"Buddy – Compact table fan with 3D oscillation, eco feature and Remote Control from Smart Series. MRP: ₹9,990.00 (inclusive of taxes). Fanzart's Buddy, in a ...",organic,False,False,False,False,False
smart fan,2,8,19,Smart/IOT Fan Kit,https://www.halonix.co.in/smart-iot/smart-iot-fan-kit/,Halonix Smart IOT Fan Kit is enabled with smart features and turns any regular fan into a smart fan. The cutting-edge technology allows you to operate the fan ...,organic,False,False,False,False,False
smart fan,2,9,20,Smart Ceiling Fans,https://www.hunterfan.com/collections/smart-ceiling-fans,"Control lights, fan speed, and direction directly from your smart devices with SIMPLEconnect® smart ceiling fans from Hunter and a Wi-Fi® connection.",organic,False,False,False,False,False
