query,platform,video_id,title,description,channel_title,published_at,tags,views,likes,comments,engagement_score,mention_atomberg,mention_orient,mention_havells,mention_crompton,mention_polycab
smart fan,youtube,VOrnBVxSDvQ,Smart Ceiling Fan 🤔 #fansound #fan #shortvideo #shorts #viralvideo,Smart Ceiling Fan #fansound #fan #shortvideo #shorts #viralvideo.,Triangle Gamer,2024-11-07T05:04:06Z,Smart Ceiling Fan|fan|fan sound|short video|shorts|viral video,2484370,8974,15,2529390,False,False,False,False,False
smart fan,youtube,g3uJjG1zxd0,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds #flipkart #atomberg ...,Quirk Art for Home by Stuti,2024-07-26T04:32:41Z,,1274008,4755,23,1298013,True,False,False,False,False
smart fan,youtube,eUqNCj2T55I,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,,Gtfuturetechnology,2024-09-15T08:00:02Z,,441173,2333,34,453178,True,False,False,False,False
smart fan,youtube,dunp92Exhqg,Best BLDC Smart Fan For Home | Atomberg Renesa Plus BLDC FAN with Remote Control..,Best BLDC Smart Fan For Home | Atomberg Renesa Plus BLDC FAN with Remote Control.. #smartfan #atomberg #remoteconteol ...,AJAY light Decoration,2024-08-23T16:26:54Z,atomberg fans|atomberg rensa plus bldc fan|best ceiling fan|best ceiling fan brands|best ceiling fan in india|bldc ceiling fan|bldc fan|bldc motor|ceiling fan installation|ceiling fan review|ceiling fan with remote|ceiling fans|dc motor|fan|fans|gadget shorts|home assistant|home automation ideas|remote control|remote fan|shorts|smart ceiling fan|smart fan|smart home|smart home automation|smart home gadgets|smart home ideas|smart home solver,284502,2052,32,295082,True,False,False,False,False
smart fan,youtube,SwRKYEhK8dI,Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,atomberg renesa enzel review atomberg renesa enzel 1200mm atomberg renesa enzel 1200mm review atomberg renesa enzel ...,Gadgets Munch,2025-04-10T08:51:16Z,best ceiling fan|best ceiling fan in india|best ceiling fan 2025|best ceiling fan 2025 in india|best ceiling fan in india 2025|best bldc fan in india|best bldc fan 2025|best bldc ceiling fan in india 2025|best bldc fan in 2025|best bldc fan in india 2025|best bldc ceiling fan in india|best ceiling fans 2025|best fan in 2025|best ceiling fan for home|best bldc ceiling fan|best bldc motor ceiling fan in 2025|best bldc celling in 2025,331264,1795,87,341109,True,False,False,False,False
smart fan,youtube,bRW2z6D96OU,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,Atomberg Renesa 1200mm – Smartest Fan in India? BLDC + Voice Control #Shorts Looking for a stylish and ...,Lovepreet Singh,2025-05-11T08:30:15Z,Atomberg Renesa Halo|Atomberg fan review|smart ceiling fan India|BLDC ceiling fan|Atomberg fan unboxing|energy saving fan|1200mm ceiling fan|Atomberg Renesa review|Renesa Halo smart fan|tech shorts|home gadgets 2025|atomberg fan features|smart fan with remote|best fan for summer 2025|bldc fan|atomberg fans|atomberg Renesa Halo Smart|atomberg Renesa Elite|atomberg Renesa Enzel|atomberg Efficio Alpha|atomberg Renesa+|atomberg Aris Contour Smart,236004,1941,12,245829,True,False,False,False,False
smart fan,youtube,u_kxhHjHln0,Atomberg Renesa 1400mm,Atomberg Renesa 1400mm mrp 3850 on atomberg website.,AMARDEEP Toor,2022-05-04T17:45:33Z,,3179273,30697,380,3336558,True,False,False,False,False
smart fan,youtube,M51FK8wEg0k,Atomberg Renesa BLDC smart ceiling fan app control kaise kare. #shorts #youtubeshorts,Atomberg renesa bldc smart ceiling fan ka app control kaise kare dekhiye.,Amazing Technique Gyan,2024-04-02T13:44:17Z,,327649,2025,83,338604,True,False,False,False,False
smart fan,youtube,_AgHnSPUl8U,Smart Fan unboxing | Atomberg | LED light #smartfan #atombergfan #atomberg #fan @Yanivibes,Smart Fan | Atomberg | LED light #smartfan #atombergfan #atomberg #fan ‎#speed #speedfan #highspeed #highspeedfan ...,Yanivibes,2025-08-09T11:50:41Z,#smartfan|#Atomberg|#atombegfan|#Renesas|#renesa+|#energysaving|#energy saver|#moneysaver|#ceilingfan|#ceilingsmartfan|#remotecontrolfan|#remote fan|#Fan|#fanwithlight|#viral|#shorts|#shortsfeed,175,2,0,185,True,False,False,False,False
smart fan,youtube,VIeK7Bq-hnM,Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,"best bldc fan under 4000 , best bldc fan under 3500 , best 5 star ceiling fans in India , best bldc ceiling fan in India 2025 Search ...",SumitYPF,2025-06-10T05:00:29Z,best bldc ceiling fan in india 2025|best bldc fan under 4500|bldc ceiling fan price in india|top 5 bldc ceiling fan|best ceiling fan under 3500|best ceiling fan|best bldc fan|best bldc fan 2025|best bldc fan 2025 in india|best bldc fan under 3500|top bldc fan in india|best bldc fan under 5000|best smart fan|best smart fan under 4000|best silent fan|best silent ceiling fan in india|Best BLDC Fan under 3500|Best Fan under 4000|best Fan|polycab wizzy neo,36578,198,42,37988,False,False,False,False,True
smart fan,youtube,0aU5FtkCEcc,Smart fan controller with mobile controller,,SHIVA ELECTRICIAN WORKS,2023-05-04T05:14:14Z,,179755,784,22,183895,False,False,False,False,False
smart fan,youtube,VynLdhM_A4A,You NEED This Smart Fan to Beat the Summer Heat 🥵🪭 Dreo Pedestal Fan,,This is Tech Today,2024-06-07T15:39:23Z,,172737,2328,47,184847,False,False,False,False,False
smart fan,youtube,YG75g6duhNQ,2024 New Bladeless Fan Light2024 new bladeless fan light #interiordesign #lampfactory,, aleadhomelightings,2024-04-23T02:09:43Z,,206647,1543,26,214622,False,False,False,False,False
smart fan,youtube,EqbYfPfdXHQ,How to reset Atomberg Fan . Atomberg renesa smart plus #atomberg #shorts #atombergfan #smartgadgets,,TrueTips,2023-10-25T08:14:11Z,,214528,1367,97,222333,True,False,False,False,False
smart fan,youtube,MQES_LprVeY,Ceiling Fan with Lights &amp; Remote – Stylish &amp; Functional Home Upgrade!,Ceiling Fan with Lights & Remote – Stylish & Functional Home Upgrade! #CeilingFan #FanWithLight #HomeDecor #SmartHome ...,QC Store,2025-03-29T16:00:24Z,Energy-efficient ceiling fans for home|Low profile ceiling fan with LED light|Best ceiling fan with light and remote|QC Store US|QC Store|Amazon|Amazon gadget|Amazon product|Amazon LED lights and fan|Modern ceiling fan for bedroom & living room|Smart ceiling fan with remote control|LED fan light|LED fan|LED light,1737669,7236,101,1774859,False,False,False,False,False
smart fan,youtube,LI-6Lap5Nv8,"The newly developed bladeless ceiling fan light can be switched when the light is turned on,","The newly developed bladeless ceiling fan light can be switched when the light is turned on, can rotate and turn, and has strong ...",VhopeL light,2024-05-18T04:05:02Z,,126121,1050,35,131721,False,False,False,False,False
smart fan,youtube,wOvKxWUW-yc,Best BLDC Fan Under ₹2500 😳 Best BLDC Ceiling Fan in 2025 India 🔥Best Ceiling Fan ✅,,iGadz Unique,2025-02-24T13:50:18Z,,457466,7013,136,493891,False,False,False,False,False
smart fan,youtube,dxe-soiD3to,"Xiaomi Smart Standing Fan 2 - Quiet Smart, Quite Cool",Unpacking the coolest from the lineup of #XiaomiTurns8 surprises! The #XiaomiSmartStandingFan2 brings you: -Silent BLDC ...,Xiaomi India,2022-07-26T12:00:24Z,xiaomi smart fan 2|mi smart fan|xiaomi smart fan|mi smart fan 2|mi fan 2|mi fan|xiaomi fan 2|xiaomi fan|smart standing fan|smart standing fan 2|xiaomi smart standing fan 2|mi smart standing fan 2,79932,267,38,81647,False,False,False,False,False
smart fan,youtube,auGsGYXFisg,Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,Ceiling fan atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo.,Utpad Unbox,2024-08-14T03:25:52Z,ceiling fan|atomberg studio smart plus fan|fan|fan sound|shorts|shorts video|viral video,944308,4606,28,967618,True,False,False,False,False
smart fan,youtube,3wkfkBYNnzU,Modern Ceiling Fan | Bladeless ceiling fan SMART CEILLING FAN with light #viralshort #ceilingfan,Buy now:-https://amzn.to/3SZYZcj Modern Ceiling Fan SMART CEILLING FAN#viralshort #ceilingfan #gadgests ...,Smart Home ,2025-04-27T07:50:39Z,ceiling fan|best ceiling fan|ceiling fan with LED Lights|smart ceiling fans|modern ceiling fan|lighting fan|lighting ceiling fan|Faster fans|summer fan|Faster summer fans,91683,0,11,91793,False,False,False,False,False
smart fan,youtube,ifhNiEKE9u8,BLDC Smart Fan 💥 Atomberg Studio Smart Plus Fan #shortsvideo #shorts #smartfan,BLDC Smart Fan Atomberg Studio Smart Plus Fan #shortsvideo #shorts #smartfan #atomberg #studiosmartplus #bldcfan ...,Utpad Unbox,2024-03-20T04:25:17Z,best smart fan|atomberg studio smart plus bldc fan|shorts|shorts video|atomberg|atomberg studio smart plus|best ceiling fan|bldc fan|atomberg fan|smart fan,19546,130,1,20206,True,False,False,False,False
smart fan,youtube,DOoxq7oQRqg,#electrician how to assemble ceiling fan #atomberg Renesa 1200mm  Star Rated Sleek Ceiling Fans,electrician how to assemble ceiling fan #atomberg Renesa 1200mm BLDC Motor 5 Star Rated Sleek Ceiling Fans #electrician ...,K.S electrical ,2023-10-10T04:10:06Z,#electrical #short video,548950,0,12,549070,True,False,False,False,False
smart fan,youtube,oPtheqMD9ew,V-Guard smart fan install | #shorts #ytshorts #youtubeshorts #shortsfeed,V-Guard smart fan install | #shorts #ytshorts #youtubeshorts #shortsfeed #shorts #shortsfeed #shortsvideo #ytshorts #ytshorts ...,Electric science expert short,2025-03-24T04:48:00Z,V-Guard smart fan install | #shorts #ytshorts #youtubeshorts #shortsfeed|youtube short|yt shorts|shorts|shorts feed,10173,138,2,10883,False,False,False,False,False
smart fan,youtube,0a8l87McgCk,SMART ceiling fans?  game. changer. 🙌🏾,,Kayla Simone,2024-06-06T14:57:06Z,,122183,4072,52,143063,False,False,False,False,False
smart fan,youtube,VSACi7O2Vs4,Variety Of All Smart Ceiling Fans!!!#ceilingfan #bldcceilingfan #smartfan #remotefan #electronic,Variety Of All Smart Ceiling Fans!!!#ceilingfan #bldcceilingfan #smartfan #remotefan #electronic #trendingshorts #viralshorts ...,The MH Interiors,2025-07-19T13:42:43Z,,603,7,1,648,False,False,False,False,False
smart fan,youtube,XY-mLcbkiIY,Atomberg Renesa Helo Smart Bldc Fan ❄️🌪️ #fan #shorts #atomberg #smart #bldc,Atomberg Renesa Helo Smart Bldc Fan ❄️🌪️ #fan #shorts #atomberg #smart #bldc.,Travel with Sajal,2025-05-07T02:03:02Z,fan|bldc|atomberg|shorts|ytshorts|smartfan,12462,74,3,12862,True,False,False,False,False
smart fan,youtube,hdDels9Z5ww,Atomberg Renesa 1200mm BLDC Motor 5 Star | Ceiling fan Installation #electricalelectricianwireman,bldcfan #smartfan #electricalelectricianwireman #google Atomberg Renesa 1200mm BLDC Motor 5 Star | Atomberg Ceiling fan ...,Electrical Electrician Wireman,2023-07-29T04:30:25Z,Light|Ceiling fan|Fan|Ceiling|Lighting|Remote control|fans|best ceiling fan|bladeless ceiling fan|ceiling fan with light|flush mount ceiling fan|modern ceiling fan|smart fan|ceiling fan review|best ceiling fans 2023|Atomberg|Atomberg Renesa+ Ceiling Fan|ceiling fan with remote installation|bidc ceiling fan|bide fan|atomberg fans|BLDC MOTOR|SUPER EFFICIENT|BOOST|SLEE|TIMER MODE|HIGH AIR|LED INDICATION FOR SPEED|GV3 RENESA 1200MM|google|short|air fan,1610406,25777,239,1741681,True,False,False,False,False
